"Subject","Location_Target","Location_Reward","Location_Nontarget","Object_Target","Object_Reward","Object_Nontarget"
71,413,297.416666666667,307.777777777778,380.727272727273,335.142857142857,349.025
72,381.5,356.421052631579,360.676470588235,369.470588235294,394.055555555556,387.975609756098
73,384.47619047619,332.9375,336.547619047619,398.705882352941,405.227272727273,416.12
74,412.692307692308,326.461538461538,339.9,386.571428571429,368.764705882353,359
75,364,344.555555555556,322.088888888889,390.833333333333,351.125,359.30303030303
76,366,333.529411764706,336.794117647059,336.4,373.294117647059,361.848484848485
77,321.818181818182,327.166666666667,318.90243902439,374.818181818182,374.6,364.870967741935
78,336.181818181818,289.3,297.026315789474,329.384615384615,352.25,340.888888888889
79,354.666666666667,274.571428571429,291.028571428571,384.352941176471,364.166666666667,361.447368421053
80,330.3,303.875,314,334.333333333333,331.5,338.833333333333
81,307.210526315789,290.304347826087,296.794871794872,342.857142857143,413.294117647059,385.162790697674
82,291.684210526316,264.611111111111,272.951219512195,341.142857142857,338.944444444444,347.975
83,375,334.388888888889,330.052631578947,399.076923076923,398.875,375.459459459459
84,367.933333333333,330.411764705882,342.311111111111,356.08,382.05,369.870967741935
85,416.8,295.208333333333,284.314285714286,391.916666666667,385.875,366.730769230769
86,406,389.538461538462,395.457142857143,381.1875,392.588235294118,414.785714285714
87,358.0625,319.066666666667,322.2,424.916666666667,416.9,407.9
88,308.35,274.470588235294,271.558139534884,329.571428571429,342.571428571429,341.425
89,313.928571428571,278.461538461538,268.243902439024,370.928571428571,342.95,354.8
90,286.777777777778,315.16,307.157894736842,359.625,354.210526315789,354.021739130435
91,340.9,310.714285714286,308.184210526316,366,363.588235294118,364.551724137931
92,332.727272727273,337.3,347.675675675676,357.777777777778,367.3125,361
93,312.277777777778,308.909090909091,319.75,365.833333333333,372.294117647059,373.974358974359
95,328.608695652174,295.529411764706,292.973684210526,361.333333333333,369.923076923077,373.125
96,394.529411764706,295.3125,271,359.526315789474,370.333333333333,360.48717948718
